date_key,month,day,weekday,year,season,holiday_flag
1,3,27,monday,2023,spring,false
2,2,13,monday,2023,winter,false
3,1,23,monday,2023,winter,false
4,1,21,saturday,2023,winter,false
5,11,22,tuesday,2022,autumn,false
6,11,19,saturday,2022,autumn,false
7,11,13,sunday,2022,autumn,false
8,10,13,thursday,2022,autumn,false
9,7,17,sunday,2022,summer,false
10,4,22,sunday,2007,spring,false
11,6,16,thursday,2022,summer,false
12,9,22,friday,2006,autumn,false
13,1,22,sunday,2006,winter,false
14,5,24,tuesday,2022,spring,false
15,5,14,saturday,2022,spring,false
16,11,30,tuesday,2021,autumn,false
17,5,26,wednesday,2021,spring,false
18,4,15,thursday,2021,spring,false
19,3,31,wednesday,2021,spring,false
20,3,22,monday,2021,spring,false
21,3,16,tuesday,2021,spring,false
22,3,16,monday,2020,spring,false
23,2,26,wednesday,2020,winter,false
24,10,19,friday,2012,autumn,false
25,6,19,tuesday,2012,summer,false
26,8,31,saturday,2019,summer,false
27,4,19,saturday,2008,spring,false
28,3,19,wednesday,2008,spring,false
29,7,28,sunday,2019,summer,false
30,5,31,friday,2019,spring,false
31,2,15,friday,2019,winter,false
32,1,24,thursday,2019,winter,false
33,1,23,wednesday,2019,winter,false
34,11,19,monday,2018,autumn,false
35,7,18,monday,2011,summer,false
36,10,27,saturday,2018,autumn,false
37,9,20,thursday,2018,autumn,false
38,12,18,friday,2009,winter,false
39,6,18,thursday,2009,summer,false
40,6,28,thursday,2018,summer,false
41,5,18,friday,2018,spring,false
42,4,22,sunday,2018,spring,false
43,9,18,thursday,2003,autumn,false
44,2,14,wednesday,2018,winter,false
45,1,28,sunday,2018,winter,false
46,11,14,tuesday,2017,autumn,false
47,5,17,tuesday,2011,spring,false
48,1,17,monday,2011,winter,false
49,10,18,wednesday,2017,autumn,false
50,1,17,sunday,2010,winter,false
51,6,14,wednesday,2017,summer,false
52,7,17,monday,2006,summer,false
53,5,6,saturday,2017,spring,false
54,12,5,tuesday,2017,winter,false
55,4,18,tuesday,2017,spring,false
56,6,1,thursday,2017,summer,false
57,9,23,friday,2016,autumn,false
58,7,17,sunday,2016,summer,false
59,7,7,thursday,2016,summer,false
60,12,6,tuesday,2016,winter,false
61,2,25,thursday,2016,winter,false
62,2,20,saturday,2016,winter,false
63,2,12,thursday,2015,winter,false
64,11,27,friday,2015,autumn,false
65,10,31,saturday,2015,autumn,false
66,1,10,saturday,2015,winter,false
67,7,16,thursday,2015,summer,false
68,6,17,wednesday,2015,summer,false
69,11,6,friday,2015,autumn,false
70,10,24,friday,2014,autumn,false
71,5,23,friday,2014,spring,false
72,3,4,tuesday,2014,spring,false
73,2,20,thursday,2014,winter,false
74,9,16,monday,2013,autumn,false
75,7,26,friday,2013,summer,false
76,7,6,saturday,2013,summer,false
77,4,21,sunday,2013,spring,false
78,3,13,wednesday,2013,spring,false
79,12,14,friday,2012,winter,false
80,9,27,thursday,2012,autumn,false
81,5,8,tuesday,2012,spring,false
82,7,20,friday,2012,summer,false
83,5,20,sunday,2012,spring,false
84,2,4,saturday,2012,winter,false
85,2,21,tuesday,2012,winter,false
86,12,10,saturday,2011,winter,false
87,6,9,thursday,2011,summer,false
88,8,1,monday,2011,summer,false
89,3,8,monday,2010,spring,false
90,11,29,sunday,2009,autumn,false
91,5,11,monday,2009,spring,false
92,3,4,wednesday,2009,spring,false
93,3,29,sunday,2009,spring,false
94,6,25,wednesday,2008,summer,false
95,2,14,thursday,2008,winter,false
96,7,2,wednesday,2008,summer,false
97,5,12,saturday,2007,spring,false
98,7,10,tuesday,2007,summer,false
99,4,16,monday,2007,spring,false
100,12,2,sunday,2007,winter,false
101,2,10,friday,2006,winter,false
102,3,25,saturday,2006,spring,false
103,1,30,monday,2006,winter,false
104,3,21,monday,2005,spring,false
105,12,3,saturday,2005,winter,false
106,8,12,thursday,2004,summer,false
107,8,7,thursday,2003,summer,false
108,5,2,wednesday,2001,spring,false
109,12,26,tuesday,2000,winter,false
110,12,30,thursday,1999,winter,false
111,2,11,thursday,1999,winter,false
112,9,15,wednesday,1999,autumn,false
113,7,29,thursday,1999,summer,false
114,4,20,tuesday,1999,spring,false
115,5,21,thursday,1998,spring,false
116,3,24,tuesday,1998,spring,false
117,6,3,wednesday,1998,summer,false
118,12,18,thursday,1997,winter,false
119,9,15,monday,1997,autumn,false
120,9,2,monday,1996,autumn,false
121,3,4,saturday,1995,spring,false
122,6,20,monday,1994,summer,false
123,12,14,tuesday,1993,winter,false
124,7,12,monday,1993,summer,false
125,6,8,tuesday,1993,summer,false
126,1,7,thursday,1993,winter,false
127,10,15,thursday,1992,autumn,false
128,1,5,sunday,1992,winter,false
129,11,14,thursday,1991,autumn,false
130,1,11,friday,1991,winter,false
131,10,16,wednesday,1991,autumn,false
132,6,18,monday,1990,summer,false
133,9,14,thursday,1989,autumn,false
134,1,17,tuesday,1989,winter,false
135,2,16,tuesday,1988,winter,false
136,4,23,thursday,1987,spring,false
137,8,20,wednesday,1986,summer,false
138,7,18,wednesday,1984,summer,false
139,6,29,friday,1984,summer,false
140,8,20,friday,1982,summer,false
