gun_key,gun_type,legal_status
1,.22-caliber rifle; two 12-gauge shotguns,yes
2,.22-caliber ruger sawed-off semiautomatic rifle,yes
3,.22-caliber sawed-off rifle; 12-gauge pump-action shotgun,yes
4,".22-caliber, two .45-caliber colt model 1911-a1 semiautomatic handguns",yes
5,".223-caliber semi-automatic assault rifle, about 40 high capacity magazines, ""black powder"" handgun (likely antique)",no
6,.25-caliber semiautomatic handgun,no
7,.30-caliber universal m1 carbine rifle; .38-caliber revolver,yes
8,.32-caliber retolaza semiautomatic handgun; ak-47 variant semiautomatic rifle; 12-gauge winchester 1300 pump-action shotgun,yes
9,.357 revolver,no
10,.38-caliber taurus revolver,yes
11,".380 acp browning, 9mm smith & wesson semiautomatic handguns; ruger m-77 .22-250 bolt-action rifle with scope; mossberg 12-gauge pump-action, 12-gauge benelli semiautomatic shotguns; .357 magnum smith & wesson, .22 sentinel wmr revolvers",yes
12,".380-caliber, 9mm ruger p85 semiautomatic handguns",yes
13,.380-caliber; make unclear,no
14,".40 caliber semi-automatic handgun, pistol grip shotgun",yes
15,".40-caliber glock 23, .22-caliber ruger semiautomatic handguns; 12-gauge remington 870 shotgun",no
16,".40-caliber ruger, one other semiautomatic handgun; bushmaster xm15 e2s semiautomatic rifle; 12-gauge winchester defender pump-action shotgun with extended tube and pistol grip",yes
17,.40-caliber smith & wesson semiautomatic handgun; .44 magnum smith & wesson model 29 revolver,no
18,".45-caliber colt 1911-a1, 9mm glock 17, .25-caliber raven arms mp-25 semiautomatic handguns; .22-caliber harrington & richardson revolver",yes
19,".45-caliber glock (model 41, with 13-round capacity magazine)",yes
20,.45-caliber handguns; noise suppressor (silencer); several high-capacity magazines,yes
21,".45-caliber heckler & koch, 9mm springfield semiautomatic handguns; .44 magnum smith & wesson revolver",yes
22,.45-caliber hi-point semiautomatic handgun,yes
23,".45-caliber ruger p90 semiautomatic handgun; .22-caliber rifle with scope, .223-caliber ruger mini-14 rifle; 12-gauge winchester 1300 shotgun; .22 magnum derringer",yes
24,.45-caliber semiautomatic handgun,yes
25,.45-caliber smith & wesson handgun,no
26,"10mm glock, 9mm sig sauer p226 semiautomatic handguns; .223 bushmaster xm15-e2s semiautomatic rifle; izhmash saiga-12 12-gauge semiautomatic shotgun",no
27,12-gauge pump-action shotgun,yes
28,7.62mm ak-47 chinese variant semiautomatic rifle,yes
29,"9 mm glock pistol, .40 caliber smith & wesson, .40 caliber taurus pistol, .556 caliber del-ton; (ammo details unclear)",yes
30,9 mm handgun,yes
31,9 mm handgun (ammo used unclear),yes
32,9mm beretta 92fs semiautomatic handgun,yes
