"state","year","total_incidents","total_participants","total_injured","total_deaths","avg_age","action_shooter_games"
"alabama",2022,"1","1","0","3","70","0"
"arizona",2011,"1097","1","14261","6582","22","330"
"arkansas",1998,"378","1","3780","1890","11","67"
"california",1984,"14","1","266","308","41","4"
"california",1988,"15","1","60","105","39","3"
"california",1989,"17","1","493","102","26","3"
"california",1992,"43","1","430","172","20","4"
"california",1993,"60","1","360","540","55","8"
"california",1997,"289","1","578","1445","41","58"
"california",2003,"774","1","0","2322","36","216"
"california",2006,"1006","1","0","8048","44","253"
"california",2009,"1430","1","0","7150","54","363"
"california",2011,"2194","2","25231","21940","35","660"
"california",2012,"651","1","1953","4557","43","311"
"california",2013,"544","1","1632","3264","23","206"
"california",2014,"1158","2","8685","5790","33","464"
"california",2015,"608","1","12768","8512","28","285"
"california",2017,"9","3","36","33","40.333333333333336","3"
"california",2019,"1","1","12","3","19","0"
"california",2021,"2","2","1","13","50.5","0"
"california",2023,"2","2","11","18","69.5","0"
"colorado",1993,"60","1","60","240","19","8"
"colorado",1999,"338","1","8112","4394","17","56"
"colorado",2011,"1097","1","0","3291","47","330"
"colorado",2012,"651","1","45570","7812","24","311"
"colorado",2015,"1216","2","5472","3648","45","570"
"colorado",2021,"1","1","0","10","21","0"
"colorado",2022,"1","1","25","5","22","0"
"connecticut",1998,"378","1","378","1890","35","67"
"connecticut",2010,"1241","1","2482","11169","34","302"
"connecticut",2012,"651","1","1302","17577","20","311"
"d.c.",2013,"544","1","4352","6528","34","206"
"florida",1982,"36","1","108","288","51","23"
"florida",1987,"16","1","224","96","59","4"
"florida",1990,"16","1","64","160","42","3"
"florida",1996,"263","1","263","1578","41","43"
"florida",1999,"338","1","1014","1690","36","56"
"florida",2012,"651","1","5208","1953","21","311"
"florida",2013,"544","1","0","3808","42","206"
"florida",2016,"340","1","18020","16660","29","150"
"florida",2017,"6","2","18","30","35.5","2"
"florida",2018,"1","1","17","17","19","0"
"florida",2019,"1","1","0","5","21","0"
"georgia",1999,"338","1","4394","3042","44","56"
"georgia",2012,"651","1","0","3255","59","311"
"georgia",2021,"1","1","1","8","21","0"
"hawaii",1999,"338","1","0","2366","40","56"
"illinois",2001,"479","1","1916","2395","66","103"
"illinois",2007,"1199","1","55154","8393","21","296"
"illinois",2008,"1426","1","29946","7130","27","304"
"illinois",2018,"1","1","0","3","32","0"
"illinois",2019,"1","1","6","5","45","0"
"indiana",2021,"1","1","7","8","19","0"
"indiana",2022,"1","1","2","3","20","0"
"iowa",1991,"41","1","41","246","28","8"
"kansas",2016,"340","1","4760","1020","38","150"
"kentucky",1989,"17","1","204","153","47","3"
"kentucky",2008,"1426","1","1426","8556","25","304"
"lousiana",2016,"340","1","1020","1020","29","150"
"maryland",2006,"1006","1","1006","3018","23","253"
"maryland",2017,"3","1","9","9","37","1"
"maryland",2018,"2","2","5","8","32","0"
"massachusetts",2000,"349","1","0","2443","42","64"
"michigan",1991,"41","1","205","205","31","8"
"michigan",2016,"340","1","680","2040","45","150"
"michigan",2021,"1","1","7","4","15","0"
"michigan",2023,"1","1","5","3","43","0"
"minnesota",2005,"940","1","4700","9400","16","288"
"minnesota",2012,"651","1","651","4557","36","311"
"mississippi",2003,"774","1","6192","5418","48","216"
