"race","year","total_incidents","total_participants","avg_age","total_na_sales","total_eu_sales","total_jp_sales","total_other_sales","total_global_sales"
"white",1982,"36","1","51","26.92","1.650000000000001","0","0.3100000000000001","28.860000000000003"
"white",1984,"28","2","40","66.56000000000002","4.199999999999999","28.540000000000003","1.4000000000000001","100.71999999999998"
"white",1986,"21","1","44","12.5","2.8400000000000003","19.81","1.9300000000000002","37.07"
"white",1987,"16","1","59","8.46","1.4100000000000001","11.63","0.2","21.73999999999999"
"white",1988,"15","1","39","23.869999999999997","6.590000000000001","15.76","0.99","47.21999999999999"
"white",1989,"34","2","36.5","90.3","16.88","36.720000000000006","3","146.9"
"black",1990,"16","1","42","25.46","7.63","14.879999999999999","1.4000000000000001","49.389999999999986"
"asian",1991,"41","1","28","12.76","3.95","14.78","0.7400000000000001","32.23"
"white",1991,"82","2","33","25.52","7.899999999999999","29.55999999999999","1.4800000000000004","64.46"
"white",1992,"86","2","35","67.74000000000001","23.42","57.82000000000001","3.299999999999999","152.31999999999994"
"black",1993,"120","2","27","30.240000000000002","9.3","50.660000000000004","1.7800000000000005","91.95999999999997"
"white",1993,"120","2","38.5","30.240000000000002","9.299999999999997","50.66","1.7800000000000005","91.96"
"white",1994,"121","1","20","28.150000000000002","14.880000000000003","33.98999999999999","2.2","79.17000000000003"
"unclear",1995,"219","1","28","24.820000000000007","14.899999999999986","45.75","2.6399999999999957","88.10999999999997"
"black",1996,"263","1","41","86.76000000000002","47.259999999999984","57.440000000000005","7.68999999999999","199.14999999999986"
"black",1997,"289","1","43","94.75000000000004","48.319999999999986","48.86999999999999","9.129999999999981","200.98000000000013"
"latino",1997,"289","1","41","94.75000000000001","48.31999999999997","48.87000000000002","9.129999999999981","200.97999999999988"
"white",1998,"1134","3","20.333333333333332","383.69999999999953","199.77000000000032","150.1200000000001","32.93999999999992","766.919999999999"
"asian",1999,"338","1","40","126.05999999999996","62.670000000000044","52.34000000000002","10.049999999999986","251.2699999999999"
"latino",1999,"338","1","36","126.06000000000013","62.67000000000002","52.33999999999999","10.04999999999998","251.27000000000027"
"white",1999,"1014","3","36","378.1800000000003","188.01000000000045","157.01999999999992","30.150000000000073","753.8099999999997"
"white",2000,"349","1","42","94.49000000000005","52.75000000000003","42.77000000000001","11.619999999999965","201.5600000000001"
"black",2001,"479","1","66","173.70000000000005","93.66999999999996","39.43999999999999","22.420000000000012","329.2200000000001"
"asian",2003,"774","1","36","192.92000000000067","103.56000000000037","34.20000000000002","25.990000000000094","356.9199999999994"
"white",2003,"774","1","48","192.92000000000002","103.5599999999999","34.199999999999996","25.99000000000005","356.91999999999956"
"white",2004,"762","1","25","222.57000000000025","107.31000000000027","41.649999999999984","47.28999999999986","419.2799999999987"
"native american",2005,"940","1","16","241.86999999999986","121.90999999999998","54.28000000000001","40.459999999999965","459.0499999999998"
"white",2005,"940","1","44","241.87000000000057","121.91000000000034","54.28000000000003","40.45999999999986","459.04999999999797"
"black",2006,"1006","1","45","263.0399999999998","129.22000000000008","73.71000000000002","54.43000000000009","520.9200000000004"
"unknown",2006,"1006","1","23","263.03999999999877","129.22000000000023","73.70999999999998","54.42999999999979","520.9199999999958"
"white",2006,"4024","4","32","1052.1599999999808","516.8799999999891","294.8399999999994","217.72000000000034","2083.6800000000076"
"asian",2007,"1199","1","23","312.0500000000002","160.4800000000001","60.05999999999998","77.60000000000018","610.8799999999998"
"white",2007,"4796","4","19.5","1248.1999999999944","641.9199999999902","240.24000000000106","310.39999999999736","2443.5199999999504"
"black",2008,"1426","1","52","351.2099999999993","184.39999999999998","60.18000000000007","82.37000000000103","678.579999999994"
"white",2008,"5704","4","24.25","1404.8399999999795","737.5999999999868","240.72000000000008","329.4799999999918","2714.3199999999965"
"asian",2009,"1430","1","41","338.84999999999997","191.5799999999999","61.88999999999998","74.77000000000015","667.2799999999997"
"black",2009,"1430","1","37","338.8499999999984","191.57999999999987","61.89000000000005","74.77000000000135","667.2799999999943"
"latino",2009,"2860","2","41.5","677.699999999998","383.15999999999735","123.78000000000023","149.5399999999987","1334.5599999999706"
"other",2009,"1430","1","39","338.84999999999974","191.58000000000015","61.88999999999995","74.77000000000025","667.2799999999996"
"white",2009,"1430","1","45","338.84999999999843","191.57999999999984","61.890000000000015","74.7700000000013","667.2799999999953"
"black",2010,"1241","1","34","303.50000000000085","176.54000000000013","58.720000000000056","59.850000000000215","598.649999999999"
"white",2010,"1241","1","64","303.49999999999955","176.54000000000005","58.720000000000184","59.849999999999824","598.6499999999954"
"latino",2011,"1097","1","32","239.27000000000027","166.10999999999996","51.719999999999985","54.03000000000003","511.19999999999993"
"unknown",2011,"1097","1","28","239.27000000000064","166.11000000000016","51.72000000000008","54.02999999999972","511.19999999999794"
"white",2011,"4388","4","34.25","957.0799999999974","664.439999999989","206.8800000000003","216.12000000000057","2044.799999999971"
"asian",2012,"1302","2","51","309.83999999999946","237.44000000000028","103.04000000000008","75.64000000000021","726.439999999997"
"black",2012,"651","1",NULL,"154.92","118.72","51.52000000000002","37.82000000000004","363.22"
"unknown",2012,"651","1","21","154.92","118.72000000000001","51.520000000000145","37.81999999999994","363.2199999999978"
"white",2012,"3255","5","32","774.5999999999974","593.5999999999973","257.60000000000076","189.10000000000036","1816.0999999999874"
"black",2013,"1088","2","30.5","309.5400000000002","251.48000000000033","95.1800000000002","79.6399999999999","736.0999999999968"
"latino",2013,"544","1","42","154.77000000000004","125.74000000000005","47.59000000000006","39.81999999999993","368.04999999999814"
"white",2013,"1088","2","43.5","309.5399999999994","251.48","95.18000000000005","79.64000000000027","736.0999999999972"
"latino",2014,"579","1","34","131.74999999999994","125.54000000000006","39.46","39.98999999999997","336.66999999999985"
"native american",2014,"1158","2","29.5","263.5000000000007","251.08000000000033","78.92000000000021","79.97999999999989","673.3399999999964"
"white",2014,"579","1","22","131.75000000000006","125.54000000000012","39.46000000000005","39.98999999999995","336.66999999999877"
"latino",2015,"608","1","27","102.81999999999992","97.64999999999996","33.679999999999986","30.009999999999998","264.3399999999998"
"other",2015,"1824","3","26","308.4599999999993","292.94999999999897","101.04000000000013","90.03000000000075","793.0199999999933"
"white",2015,"1216","2","39","205.64000000000036","195.30000000000004","67.36000000000007","60.01999999999993","528.6799999999954"
"white ",2015,"608","1","33","102.81999999999992","97.64999999999993","33.68","30.010000000000005","264.3399999999997"
"black",2016,"1020","3","30.666666666666668","67.9800000000003","80.28000000000026","40.620000000000005","23.25000000000005","212.31000000000046"
"other",2016,"340","1","29","22.660000000000007","26.759999999999998","13.539999999999996","7.749999999999997","70.76999999999997"
"unknown",2016,"340","1","20","22.66000000000006","26.76000000000006","13.539999999999965","7.749999999999986","70.76999999999991"
"white",2016,"340","1","45","22.659999999999993","26.76","13.539999999999994","7.749999999999998","70.77"
"asian",2017,"3","1","38","0","0","0.05","0","0.05"
"black",2017,"6","2","38","0","0","0.1","0","0.1"
"latino",2017,"3","1","26","0","0","0.05","0","0.05"
"unknown",2017,"3","1","45","0","0","0.05","0","0.05"
"white",2017,"6","2","43.5","0","0","0.09999999999999999","0","0.09999999999999999"
"black",2018,"1","1","26",NULL,NULL,NULL,NULL,NULL
"latino",2018,"1","1","32",NULL,NULL,NULL,NULL,NULL
"white",2018,"6","6","29.5",NULL,NULL,NULL,NULL,NULL
"black",2019,"2","2","42.5",NULL,NULL,NULL,NULL,NULL
"unknown",2019,"1","1","19",NULL,NULL,NULL,NULL,NULL
"white",2019,"3","3","26",NULL,NULL,NULL,NULL,NULL
"black",2020,"1","1","51","0.27","0","0","0.02","0.29"
"unknown",2020,"1","1","31","0.27","0","0","0.02","0.29"
"unknown",2021,"4","4","34.25",NULL,NULL,NULL,NULL,NULL
"white",2021,"2","2","20",NULL,NULL,NULL,NULL,NULL
"black",2022,"2","2","26.5",NULL,NULL,NULL,NULL,NULL
"latino",2022,"1","1","18",NULL,NULL,NULL,NULL,NULL
"white",2022,"5","5","29",NULL,NULL,NULL,NULL,NULL
"asian",2023,"2","2","69.5",NULL,NULL,NULL,NULL,NULL
"black",2023,"1","1","43",NULL,NULL,NULL,NULL,NULL
"unknown",2023,"1","1","28",NULL,NULL,NULL,NULL,NULL
