"title","genre","year","num_injured","num_deaths"
"wii sports","sports",2006,1,3
"wii sports","sports",2006,10,4
"wii sports","sports",2006,0,3
"wii sports","sports",2006,5,6
"wii sports","sports",2006,2,7
"wii sports","sports",2006,0,8
"mario kart wii","racing",2008,27,9
"mario kart wii","racing",2008,26,22
"mario kart wii","racing",2008,1,6
"mario kart wii","racing",2008,21,5
"mario kart wii","racing",2008,2,6
"wii sports resort","sports",2009,0,5
"wii sports resort","sports",2009,2,3
"wii sports resort","sports",2009,1,4
"wii sports resort","sports",2009,31,13
"wii sports resort","sports",2009,4,14
"wii sports resort","sports",2009,3,8
"pokemon red/pokemon blue","role-playing",1996,1,6
"tetris","puzzle",1989,12,9
"tetris","puzzle",1989,29,6
"new super mario bros.","platform",2006,1,3
"new super mario bros.","platform",2006,10,4
"new super mario bros.","platform",2006,0,3
"new super mario bros.","platform",2006,5,6
"new super mario bros.","platform",2006,2,7
"new super mario bros.","platform",2006,0,8
"wii play","misc",2006,1,3
"wii play","misc",2006,10,4
"wii play","misc",2006,0,3
"wii play","misc",2006,5,6
"wii play","misc",2006,2,7
"wii play","misc",2006,0,8
"new super mario bros. wii","platform",2009,0,5
"new super mario bros. wii","platform",2009,2,3
"new super mario bros. wii","platform",2009,1,4
"new super mario bros. wii","platform",2009,31,13
"new super mario bros. wii","platform",2009,4,14
"new super mario bros. wii","platform",2009,3,8
"duck hunt","shooter",1984,19,22
"duck hunt","shooter",1984,1,6
"nintendogs","simulation",2005,5,10
"nintendogs","simulation",2005,4,7
"mario kart ds","racing",2005,5,10
"mario kart ds","racing",2005,4,7
"pokemon gold/pokemon silver","role-playing",1999,3,5
"pokemon gold/pokemon silver","role-playing",1999,0,7
"pokemon gold/pokemon silver","role-playing",1999,7,8
"pokemon gold/pokemon silver","role-playing",1999,13,9
"pokemon gold/pokemon silver","role-playing",1999,24,13
"wii fit","sports",2007,46,7
"wii fit","sports",2007,4,9
"wii fit","sports",2007,1,6
"wii fit","sports",2007,23,32
"wii fit","sports",2007,4,6
"wii fit plus","sports",2009,0,5
"wii fit plus","sports",2009,2,3
"wii fit plus","sports",2009,1,4
"wii fit plus","sports",2009,31,13
"wii fit plus","sports",2009,4,14
"wii fit plus","sports",2009,3,8
"kinect adventures!","misc",2010,546,58
"kinect adventures!","misc",2010,2,9
"grand theft auto v","action",2013,8,12
"grand theft auto v","action",2013,0,7
"grand theft auto v","action",2013,3,6
"grand theft auto v","action",2013,0,5
"grand theft auto v","action",2013,2,5
"grand theft auto: san andreas","action",2004,7,5
"super mario world","platform",1990,4,10
"brain age: train your brain in minutes a day","misc",2005,5,10
"brain age: train your brain in minutes a day","misc",2005,4,7
"pokemon diamond/pokemon pearl","role-playing",2006,1,3
"pokemon diamond/pokemon pearl","role-playing",2006,10,4
"pokemon diamond/pokemon pearl","role-playing",2006,0,3
"pokemon diamond/pokemon pearl","role-playing",2006,5,6
"pokemon diamond/pokemon pearl","role-playing",2006,2,7
"pokemon diamond/pokemon pearl","role-playing",2006,0,8
"super mario land","platform",1989,12,9
"super mario land","platform",1989,29,6
"super mario bros. 3","platform",1988,4,7
"grand theft auto v","action",2013,8,12
"grand theft auto v","action",2013,0,7
"grand theft auto v","action",2013,3,6
"grand theft auto v","action",2013,0,5
"grand theft auto v","action",2013,2,5
"pokemon black/pokemon white","role-playing",2010,546,58
"pokemon black/pokemon white","role-playing",2010,2,9
"brain age 2: more training in minutes a day","puzzle",2005,5,10
"brain age 2: more training in minutes a day","puzzle",2005,4,7
"gran turismo 3: a-spec","racing",2001,4,5
"call of duty: modern warfare 3","shooter",2011,22,12
"call of duty: modern warfare 3","shooter",2011,20,26
"call of duty: modern warfare 3","shooter",2011,0,3
"call of duty: modern warfare 3","shooter",2011,1,8
"call of duty: modern warfare 3","shooter",2011,7,5
"call of duty: modern warfare 3","shooter",2011,13,6
"pokémon yellow: special pikachu edition","role-playing",1998,25,4
"pokémon yellow: special pikachu edition","role-playing",1998,10,5
"pokémon yellow: special pikachu edition","role-playing",1998,1,5
"call of duty: black ops","shooter",2010,546,58
"call of duty: black ops","shooter",2010,2,9
"pokemon x/pokemon y","role-playing",2013,8,12
"pokemon x/pokemon y","role-playing",2013,0,7
"pokemon x/pokemon y","role-playing",2013,3,6
"pokemon x/pokemon y","role-playing",2013,0,5
"pokemon x/pokemon y","role-playing",2013,2,5
"call of duty: black ops 3","shooter",2015,21,14
"call of duty: black ops 3","shooter",2015,9,3
"call of duty: black ops 3","shooter",2015,0,3
"call of duty: black ops 3","shooter",2015,9,9
"call of duty: black ops 3","shooter",2015,2,5
"call of duty: black ops 3","shooter",2015,1,9
"call of duty: black ops 3","shooter",2015,1,3
"call of duty: black ops ii","shooter",2012,3,4
"call of duty: black ops ii","shooter",2012,8,3
"call of duty: black ops ii","shooter",2012,2,27
"call of duty: black ops ii","shooter",2012,1,7
"call of duty: black ops ii","shooter",2012,3,7
"call of duty: black ops ii","shooter",2012,70,12
"call of duty: black ops ii","shooter",2012,1,6
"call of duty: black ops ii","shooter",2012,3,7
"call of duty: black ops ii","shooter",2012,0,5
"call of duty: black ops ii","shooter",2012,3,4
"call of duty: black ops ii","shooter",2012,8,3
"call of duty: black ops ii","shooter",2012,2,27
"call of duty: black ops ii","shooter",2012,1,7
"call of duty: black ops ii","shooter",2012,3,7
"call of duty: black ops ii","shooter",2012,70,12
"call of duty: black ops ii","shooter",2012,1,6
"call of duty: black ops ii","shooter",2012,3,7
"call of duty: black ops ii","shooter",2012,0,5
"call of duty: modern warfare 2","shooter",2009,0,5
"call of duty: modern warfare 2","shooter",2009,2,3
"call of duty: modern warfare 2","shooter",2009,1,4
"call of duty: modern warfare 2","shooter",2009,31,13
"call of duty: modern warfare 2","shooter",2009,4,14
"call of duty: modern warfare 2","shooter",2009,3,8
"call of duty: modern warfare 3","shooter",2011,22,12
"call of duty: modern warfare 3","shooter",2011,20,26
"call of duty: modern warfare 3","shooter",2011,0,3
"call of duty: modern warfare 3","shooter",2011,1,8
"call of duty: modern warfare 3","shooter",2011,7,5
"call of duty: modern warfare 3","shooter",2011,13,6
"grand theft auto iii","action",2001,4,5
"super smash bros. brawl","fighting",2008,27,9
"super smash bros. brawl","fighting",2008,26,22
"super smash bros. brawl","fighting",2008,1,6
