"region","city","total_death_cases"
"alabama","birmingham","3"
"arizona","tucson","6"
"arkansas","jonesboro","5"
"california","alturas","4"
"california","bakersfield","5"
"california","fresno","3"
"california","gilroy","3"
"california","goleta","8"
"california","half moon bay","7"
"california","monterey park","11"
"california","oakland","7"
"california","olivehurst","4"
"california","orange","9"
"california","rancho tehama","5"
"california","san bernardino","14"
"california","san francisco","12"
"california","san jose","9"
"california","san ysidro","22"
"california","santa barbara","6"
"california","santa monica","6"
"california","seal beach","8"
"california","stockton","6"
"california","sunnyvale","7"
"california","thousand oaks","12"
"california","yountville","3"
"colorado","aurora","16"
"colorado","boulder","10"
"colorado","colorado springs","11"
"colorado","littleton","13"
"colorado","thornton","3"
"connecticut","manchester","9"
"connecticut","newington","5"
"connecticut","newtown","27"
"d.c.","washington","12"
"florida","fort lauderdale","11"
"florida","hialeah","7"
"florida","jacksonville","10"
"florida","miami","8"
"florida","orlando","54"
"florida","palm bay","6"
"florida","parkland","17"
"florida","pensacola","3"
"florida","sebring","5"
"florida","tampa","5"
"georgia","atlanta","17"
"georgia","norcross","5"
"hawaii","honolulu","7"
"illinois","aurora","5"
"illinois","chicago","3"
"illinois","dekalb","5"
"illinois","highland park","7"
"illinois","melrose park","5"
"indiana","greenwood","3"
"indiana","indianapolis","8"
"iowa","iowa city","6"
"kansas","hesston","3"
"kentucky","henderson","6"
"kentucky","louisville","9"
"lousiana","baton rouge","3"
"maryland","annapolis","5"
"maryland","edgewood","3"
"maryland","perryman","3"
"maryland","smithsburg","3"
"massachusetts","wakefield","7"
"michigan","east lansing","3"
"michigan","kalamazoo county","6"
"michigan","oxford","4"
"michigan","royal oak","5"
"minnesota","minneapolis","7"
"minnesota","red lake","10"
"mississippi","meridian","7"
"missouri","kirkwood","6"
"missouri","springfield","4"
"nebraska","omaha","9"
"nevada","carson city","5"
"nevada","las vegas","58"
"new jersey","jersey city","4"
"new york","binghamton","14"
"new york","buffalo","10"
"new york","garden city","6"
"new york","herkimer county","5"
"new york","watkins glen","5"
"north carolina","carthage","8"
"north carolina","fayetteville","4"
"north carolina","hedingham","5"
"ohio","cincinnati","3"
"ohio","columbus","5"
"ohio","dayton","9"
"ohio","kirkersville","3"
"oklahoma","edmond","15"
"oklahoma","tulsa","4"
"oregon","roseburg","9"
"oregon","springfield","4"
"pennsylvania","lancaster county","6"
"pennsylvania","melcroft","4"
"pennsylvania","pittsburgh","11"
"pennsylvania","state college","3"
"pennsylvania","tunkhannock","3"
"south carolina","aiken","4"
"south carolina","charleston","9"
"tennessee","chattanooga","5"
"tennessee","nashville","10"
"texas","corpus christi","6"
"texas","dallas","11"
"texas","el paso","22"
"texas","fort hood","16"
"texas","fort worth","8"
"texas","killeen","24"
"texas","odessa","7"
"texas","santa fe","10"
"texas","sutherland springs","26"
"texas","uvalde","21"
"utah","salt lake city","6"
"virginia","blacksburg","32"
"virginia","charlottesville","3"
"virginia","chesapeake","6"
"virginia","virginia beach","12"
"washington","burlington","5"
"washington","fairchild air force base","5"
"washington","federal way","5"
"washington","marysville","5"
"washington","parkland","4"
"washington","seattle","13"
"wisconsin","brookfield","7"
"wisconsin","crandon","6"
"wisconsin","menasha","3"
"wisconsin","milwaukee","5"
"wisconsin","oak creek","7"
