"case_primary_key","location","total_injured_cases","total_death_cases"
44,"school","17","17"
101,"school","5","6"
116,"school","10","5"
99,"school","23","32"
71,"school","13","6"
115,"school","25","4"
114,"school","24","13"
41,"school","13","10"
14,"school","17","21"
66,"school","9","9"
70,"school","1","5"
7,"school","2","3"
1,"school","1","6"
104,"school","5","10"
2,"school","5","3"
16,"school","7","4"
79,"school","2","27"
134,"school","29","6"
84,"school","3","7"
130,"school","1","6"
128,"school","10","4"
95,"school","21","5"
