video_game_key,date_key
1,"[12, 13, 52, 101, 102, 103]"
2,
3,"[27, 28, 94, 95, 96]"
4,"[38, 39, 90, 91, 92, 93]"
5,[120]
6,"[133, 134]"
7,"[12, 13, 52, 101, 102, 103]"
8,"[12, 13, 52, 101, 102, 103]"
9,"[38, 39, 90, 91, 92, 93]"
10,"[138, 139]"
11,"[104, 105]"
12,"[104, 105]"
13,"[110, 111, 112, 113, 114]"
14,"[10, 97, 98, 99, 100]"
15,"[38, 39, 90, 91, 92, 93]"
16,"[50, 89]"
17,"[74, 75, 76, 77, 78]"
18,[106]
19,[132]
20,"[104, 105]"
21,"[12, 13, 52, 101, 102, 103]"
22,"[133, 134]"
23,[135]
24,"[74, 75, 76, 77, 78]"
25,
26,
27,"[50, 89]"
28,"[104, 105]"
29,[108]
30,"[35, 47, 48, 86, 87, 88]"
31,"[115, 116, 117]"
32,"[50, 89]"
33,"[74, 75, 76, 77, 78]"
34,"[63, 64, 65, 66, 67, 68, 69]"
35,"[24, 25, 79, 80, 81, 82, 83, 84, 85]"
36,"[24, 25, 79, 80, 81, 82, 83, 84, 85]"
37,"[38, 39, 90, 91, 92, 93]"
38,"[35, 47, 48, 86, 87, 88]"
39,[108]
40,"[27, 28, 94, 95, 96]"
41,"[50, 89]"
42,"[104, 105]"
43,"[35, 47, 48, 86, 87, 88]"
44,"[10, 97, 98, 99, 100]"
45,"[70, 71, 72, 73]"
46,"[38, 39, 90, 91, 92, 93]"
47,[120]
48,[106]
49,"[10, 97, 98, 99, 100]"
50,"[70, 71, 72, 73]"
51,"[127, 128]"
52,"[27, 28, 94, 95, 96]"
53,"[118, 119]"
54,"[35, 47, 48, 86, 87, 88]"
55,"[50, 89]"
56,"[38, 39, 90, 91, 92, 93]"
57,"[27, 28, 94, 95, 96]"
58,"[123, 124, 125, 126]"
59,[106]
60,[106]
61,"[35, 47, 48, 86, 87, 88]"
62,"[74, 75, 76, 77, 78]"
63,"[50, 89]"
64,[120]
65,"[24, 25, 79, 80, 81, 82, 83, 84, 85]"
66,"[24, 25, 79, 80, 81, 82, 83, 84, 85]"
67,"[118, 119]"
68,"[74, 75, 76, 77, 78]"
69,"[50, 89]"
70,"[110, 111, 112, 113, 114]"
71,"[10, 97, 98, 99, 100]"
72,[122]
73,"[74, 75, 76, 77, 78]"
74,"[24, 25, 79, 80, 81, 82, 83, 84, 85]"
75,"[10, 97, 98, 99, 100]"
76,"[35, 47, 48, 86, 87, 88]"
77,"[127, 128]"
78,"[63, 64, 65, 66, 67, 68, 69]"
79,"[50, 89]"
80,[106]
81,"[10, 97, 98, 99, 100]"
82,"[24, 25, 79, 80, 81, 82, 83, 84, 85]"
83,"[24, 25, 79, 80, 81, 82, 83, 84, 85]"
84,"[38, 39, 90, 91, 92, 93]"
85,"[118, 119]"
86,"[10, 97, 98, 99, 100]"
87,[108]
88,"[110, 111, 112, 113, 114]"
89,"[27, 28, 94, 95, 96]"
90,[140]
91,"[104, 105]"
92,"[50, 89]"
93,"[63, 64, 65, 66, 67, 68, 69]"
94,"[70, 71, 72, 73]"
95,"[115, 116, 117]"
96,"[118, 119]"
97,[135]
98,"[70, 71, 72, 73]"
99,"[27, 28, 94, 95, 96]"
100,"[35, 47, 48, 86, 87, 88]"
101,"[12, 13, 52, 101, 102, 103]"
102,"[63, 64, 65, 66, 67, 68, 69]"
103,"[38, 39, 90, 91, 92, 93]"
104,"[35, 47, 48, 86, 87, 88]"
105,"[43, 107]"
106,"[115, 116, 117]"
107,"[115, 116, 117]"
108,[108]
109,"[70, 71, 72, 73]"
110,"[63, 64, 65, 66, 67, 68, 69]"
111,"[43, 107]"
112,"[24, 25, 79, 80, 81, 82, 83, 84, 85]"
113,"[74, 75, 76, 77, 78]"
114,[106]
115,
116,"[35, 47, 48, 86, 87, 88]"
117,[120]
118,"[50, 89]"
119,"[27, 28, 94, 95, 96]"
120,"[38, 39, 90, 91, 92, 93]"
121,"[10, 97, 98, 99, 100]"
122,"[35, 47, 48, 86, 87, 88]"
123,"[104, 105]"
124,"[50, 89]"
125,"[70, 71, 72, 73]"
126,"[50, 89]"
127,"[35, 47, 48, 86, 87, 88]"
128,[137]
129,"[24, 25, 79, 80, 81, 82, 83, 84, 85]"
130,[108]
131,[106]
132,
133,[109]
134,"[38, 39, 90, 91, 92, 93]"
135,"[50, 89]"
136,
