video_game_key,title,genre,platform,publisher,year
1,wii sports,sports,wii,nintendo,2006
2,super mario bros.,platform,nes,nintendo,1985
3,mario kart wii,racing,wii,nintendo,2008
4,wii sports resort,sports,wii,nintendo,2009
5,pokemon red/pokemon blue,role-playing,gb,nintendo,1996
6,tetris,puzzle,gb,nintendo,1989
7,new super mario bros.,platform,ds,nintendo,2006
8,wii play,misc,wii,nintendo,2006
9,new super mario bros. wii,platform,wii,nintendo,2009
10,duck hunt,shooter,nes,nintendo,1984
11,nintendogs,simulation,ds,nintendo,2005
12,mario kart ds,racing,ds,nintendo,2005
13,pokemon gold/pokemon silver,role-playing,gb,nintendo,1999
14,wii fit,sports,wii,nintendo,2007
15,wii fit plus,sports,wii,nintendo,2009
16,kinect adventures!,misc,x360,microsoft game studios,2010
17,grand theft auto v,action,ps3,take-two interactive,2013
18,grand theft auto: san andreas,action,ps2,take-two interactive,2004
19,super mario world,platform,snes,nintendo,1990
20,brain age: train your brain in minutes a day,misc,ds,nintendo,2005
21,pokemon diamond/pokemon pearl,role-playing,ds,nintendo,2006
22,super mario land,platform,gb,nintendo,1989
23,super mario bros. 3,platform,nes,nintendo,1988
24,grand theft auto v,action,x360,take-two interactive,2013
25,grand theft auto: vice city,action,ps2,take-two interactive,2002
26,pokemon ruby/pokemon sapphire,role-playing,gba,nintendo,2002
27,pokemon black/pokemon white,role-playing,ds,nintendo,2010
28,brain age 2: more training in minutes a day,puzzle,ds,nintendo,2005
29,gran turismo 3: a-spec,racing,ps2,sony computer entertainment,2001
30,call of duty: modern warfare 3,shooter,x360,activision,2011
31,pokémon yellow: special pikachu edition,role-playing,gb,nintendo,1998
32,call of duty: black ops,shooter,x360,activision,2010
33,pokemon x/pokemon y,role-playing,3ds,nintendo,2013
34,call of duty: black ops 3,shooter,ps4,activision,2015
35,call of duty: black ops ii,shooter,ps3,activision,2012
36,call of duty: black ops ii,shooter,x360,activision,2012
37,call of duty: modern warfare 2,shooter,x360,activision,2009
38,call of duty: modern warfare 3,shooter,ps3,activision,2011
39,grand theft auto iii,action,ps2,take-two interactive,2001
40,super smash bros. brawl,fighting,wii,nintendo,2008
41,call of duty: black ops,shooter,ps3,activision,2010
42,animal crossing: wild world,simulation,ds,nintendo,2005
43,mario kart 7,racing,3ds,nintendo,2011
44,halo 3,shooter,x360,microsoft game studios,2007
45,grand theft auto v,action,ps4,take-two interactive,2014
46,pokemon heartgold/pokemon soulsilver,action,ds,nintendo,2009
47,super mario 64,platform,n64,nintendo,1996
48,gran turismo 4,racing,ps2,sony computer entertainment,2004
49,super mario galaxy,platform,wii,nintendo,2007
50,pokemon omega ruby/pokemon alpha sapphire,role-playing,3ds,nintendo,2014
51,super mario land 2: 6 golden coins,adventure,gb,nintendo,1992
52,grand theft auto iv,action,x360,take-two interactive,2008
53,gran turismo,racing,ps,sony computer entertainment,1997
54,super mario 3d land,platform,3ds,nintendo,2011
55,gran turismo 5,racing,ps3,sony computer entertainment,2010
56,call of duty: modern warfare 2,shooter,ps3,activision,2009
57,grand theft auto iv,action,ps3,take-two interactive,2008
58,super mario all-stars,platform,snes,nintendo,1993
59,pokemon firered/pokemon leafgreen,role-playing,gba,nintendo,2004
60,super mario 64,platform,ds,nintendo,2004
61,just dance 3,misc,wii,ubisoft,2011
62,call of duty: ghosts,shooter,x360,activision,2013
63,halo: reach,shooter,x360,microsoft game studios,2010
64,mario kart 64,racing,n64,nintendo,1996
65,new super mario bros. 2,platform,3ds,nintendo,2012
66,halo 4,shooter,x360,microsoft game studios,2012
67,final fantasy vii,role-playing,ps,sony computer entertainment,1997
68,call of duty: ghosts,shooter,ps3,activision,2013
69,just dance 2,misc,wii,ubisoft,2010
70,gran turismo 2,racing,ps,sony computer entertainment,1999
71,call of duty 4: modern warfare,shooter,x360,activision,2007
72,donkey kong country,platform,snes,nintendo,1994
73,minecraft,misc,x360,microsoft game studios,2013
74,animal crossing: new leaf,simulation,3ds,nintendo,2012
75,mario party ds,misc,ds,nintendo,2007
76,the elder scrolls v: skyrim,role-playing,x360,bethesda softworks,2011
77,super mario kart,racing,snes,nintendo,1992
78,fifa 16,sports,ps4,electronic arts,2015
79,wii party,misc,wii,nintendo,2010
80,halo 2,shooter,xb,microsoft game studios,2004
81,mario party 8,misc,wii,nintendo,2007
82,pokemon black 2/pokemon white 2,role-playing,ds,nintendo,2012
83,fifa soccer 13,action,ps3,electronic arts,2012
84,the sims 3,simulation,pc,electronic arts,2009
85,goldeneye 007,shooter,n64,nintendo,1997
86,mario & sonic at the olympic games,sports,wii,sega,2007
87,final fantasy x,role-playing,ps2,sony computer entertainment,2001
88,final fantasy viii,role-playing,ps,squaresoft,1999
89,pokémon platinum version,role-playing,ds,nintendo,2008
90,pac-man,puzzle,2600,atari,1982
91,grand theft auto: liberty city stories,action,psp,take-two interactive,2005
92,super mario galaxy 2,platform,wii,nintendo,2010
93,star wars battlefront (2015),shooter,ps4,electronic arts,2015
94,call of duty: advanced warfare,shooter,ps4,activision,2014
95,the legend of zelda: ocarina of time,action,n64,nintendo,1998
96,crash bandicoot 2: cortex strikes back,platform,ps,sony computer entertainment,1997
97,super mario bros. 2,platform,nes,nintendo,1988
98,super smash bros. for wii u and 3ds,fighting,3ds,nintendo,2014
99,call of duty: world at war,shooter,x360,activision,2008
100,battlefield 3,shooter,x360,electronic arts,2011
101,the legend of zelda: twilight princess,action,wii,nintendo,2006
102,call of duty: black ops 3,shooter,xone,activision,2015
103,just dance,misc,wii,ubisoft,2009
104,battlefield 3,shooter,ps3,electronic arts,2011
105,need for speed underground,racing,ps2,electronic arts,2003
106,tekken 3,fighting,ps,sony computer entertainment,1998
107,crash bandicoot 3: warped,platform,ps,sony computer entertainment,1998
108,super smash bros. melee,fighting,gc,nintendo,2001
109,mario kart 8,racing,wiiu,nintendo,2014
110,fallout 4,role-playing,ps4,bethesda softworks,2015
111,mario kart: double dash!!,racing,gc,nintendo,2003
112,just dance 4,misc,wii,ubisoft,2012
113,fifa 14,sports,ps3,electronic arts,2013
114,need for speed underground 2,racing,ps2,electronic arts,2004
115,medal of honor: frontline,shooter,ps2,electronic arts,2002
116,uncharted 3: drake's deception,action,ps3,sony computer entertainment,2011
117,crash bandicoot,platform,ps,sony computer entertainment,1996
118,zumba fitness,sports,wii,505 games,2010
119,gears of war 2,shooter,x360,microsoft game studios,2008
120,uncharted 2: among thieves,action,ps3,sony computer entertainment,2009
121,call of duty 4: modern warfare,shooter,ps3,activision,2007
122,fifa 12,sports,ps3,electronic arts,2011
123,big brain academy,misc,ds,nintendo,2005
124,red dead redemption,action,ps3,take-two interactive,2010
125,fifa 15,sports,ps4,electronic arts,2014
126,donkey kong country returns,platform,wii,nintendo,2010
127,the elder scrolls v: skyrim,role-playing,ps3,bethesda softworks,2011
128,the legend of zelda,action,nes,nintendo,1986
129,assassin's creed iii,action,ps3,ubisoft,2012
130,halo: combat evolved,shooter,xb,microsoft game studios,2001
131,pokémon emerald version,role-playing,gba,nintendo,2004
132,kingdom hearts,role-playing,ps2,sony computer entertainment,2002
133,pokémon crystal version,role-playing,gb,nintendo,2000
134,halo 3: odst,shooter,x360,microsoft game studios,2009
135,red dead redemption,action,x360,take-two interactive,2010
136,super mario sunshine,platform,gc,nintendo,2002
137,street fighter ii: the world warrior,fighting,snes,capcom,1992
138,world of warcraft,role-playing,pc,activision,2004
139,driver,action,ps,gt interactive,1999
140,kinect sports,sports,x360,microsoft game studios,2010
141,gears of war 3,shooter,x360,microsoft game studios,2011
142,gears of war,shooter,x360,microsoft game studios,2006
143,metal gear solid 2: sons of liberty,action,ps2,konami digital entertainment,2001
144,sonic the hedgehog 2,platform,gen,sega,1992
145,metal gear solid 4: guns of the patriots,action,ps3,konami digital entertainment,2008
146,metal gear solid,action,ps,konami digital entertainment,1998
147,the last of us,action,ps3,sony computer entertainment europe,2013
148,final fantasy xii,role-playing,ps2,square enix,2006
149,littlebigplanet,platform,ps3,sony computer entertainment,2008
150,dragon quest ix: sentinels of the starry skies,role-playing,ds,nintendo,2009
151,lego star wars: the complete saga,action,wii,lucasarts,2007
152,resident evil 2,action,ps,virgin interactive,1998
153,tekken 2,fighting,ps,sony computer entertainment,1996
154,cooking mama,simulation,ds,505 games,2006
155,destiny,shooter,ps4,activision,2014
156,tetris,puzzle,nes,nintendo,1988
157,assassin's creed ii,action,ps3,ubisoft,2009
158,super smash bros.,fighting,n64,nintendo,1999
159,assassin's creed,adventure,x360,ubisoft,2007
160,batman: arkham city,action,ps3,warner bros. interactive entertainment,2011
161,forza motorsport 3,racing,x360,microsoft game studios,2009
162,monster hunter freedom unite,role-playing,psp,capcom,2008
163,super mario advance,platform,gba,nintendo,2001
164,mario kart: super circuit,racing,gba,nintendo,2001
165,super mario world,platform,gba,nintendo,2001
166,pokemon stadium,strategy,n64,nintendo,1999
167,call of duty: world at war,shooter,ps3,activision,2008
168,crash bandicoot: the wrath of cortex,platform,ps2,universal interactive,2001
169,minecraft,misc,ps3,sony computer entertainment,2014
170,final fantasy xiii,role-playing,ps3,square enix,2009
171,dr. mario,puzzle,gb,nintendo,1989
172,pokemon pinball,misc,gb,nintendo,1999
173,assassin's creed iii,action,x360,ubisoft,2012
174,final fantasy ix,role-playing,ps,squaresoft,2000
175,final fantasy x-2,role-playing,ps2,electronic arts,2003
176,donkey kong 64,platform,n64,nintendo,1999
177,assassin's creed ii,action,x360,ubisoft,2009
178,professor layton and the curious village,puzzle,ds,nintendo,2007
179,tomb raider ii,action,ps,eidos interactive,1997
180,madden nfl 2004,sports,ps2,electronic arts,0
181,dragon quest viii: journey of the cursed king,role-playing,ps2,square enix,2004
182,diablo iii,role-playing,pc,activision,2012
183,super mario bros. 3,platform,gba,nintendo,2003
184,new super mario bros. u,platform,wiiu,nintendo,2012
185,super mario land 3: wario land,platform,gb,nintendo,1994
186,fifa soccer 13,action,x360,electronic arts,2012
187,the legend of zelda: phantom hourglass,action,ds,nintendo,2007
188,donkey kong country 2: diddy's kong quest,platform,snes,nintendo,1995
189,tomodachi life,simulation,3ds,nintendo,2013
190,mario & sonic at the olympic games,sports,ds,sega,2008
191,medal of honor: rising sun,shooter,ps2,electronic arts,2003
192,kirby's dream land,platform,gb,nintendo,1992
193,fable iii,role-playing,x360,microsoft game studios,2010
194,call of duty: advanced warfare,shooter,xone,activision,2014
195,microsoft flight simulator,simulation,pc,microsoft game studios,1996
196,guitar hero ii,misc,ps2,redoctane,2006
197,resident evil 5,action,ps3,capcom,2009
198,grand theft auto v,action,xone,take-two interactive,2014
199,grand theft auto: vice city stories,action,psp,take-two interactive,2006
200,fifa soccer 11,sports,ps3,electronic arts,2010
201,super mario bros.,platform,gb,nintendo,1999
202,resident evil,action,ps,virgin interactive,1996
203,tony hawk's pro skater,sports,ps,activision,1999
204,super smash bros. for wii u and 3ds,fighting,wiiu,nintendo,2014
205,warzone 2100,strategy,ps,eidos interactive,1999
206,spyro the dragon,platform,ps,sony computer entertainment,1998
207,link's crossbow training,shooter,wii,nintendo,2007
208,guitar hero iii: legends of rock,misc,ps2,activision,2007
209,fallout 3,role-playing,x360,bethesda softworks,2008
210,pokemon mystery dungeon: explorers of time/explorers of darkness,role-playing,ds,nintendo,2007
211,uncharted: drake's fortune,action,ps3,sony computer entertainment,2007
212,madden nfl 06,sports,ps2,electronic arts,2005
