,num_deaths,num_injured,outlier
0,6,1,1
1,3,5,1
2,7,1,1
3,11,10,1
4,6,6,1
5,5,25,1
6,3,2,-1
7,5,2,1
8,3,2,-1
9,7,46,-1
10,3,0,-1
11,3,1,-1
12,4,10,1
13,21,17,-1
14,10,3,1
15,4,7,1
16,9,0,1
17,8,7,1
18,4,1,1
19,10,0,1
20,8,1,1
21,4,0,1
22,5,0,1
23,4,3,1
24,3,8,1
25,7,25,1
26,9,27,1
27,22,26,-1
28,3,12,1
29,12,4,-1
30,5,6,1
31,3,1,-1
32,5,0,1
33,3,0,-1
34,12,22,-1
35,11,6,1
36,3,3,1
37,5,0,1
38,3,2,-1
39,5,2,1
40,10,13,1
41,4,4,1
42,3,0,-1
43,17,17,-1
44,4,1,1
45,5,10,1
46,26,20,-1
47,3,0,-1
48,3,3,1
49,58,546,-1
50,3,2,-1
51,3,0,-1
52,5,0,1
53,3,0,-1
54,3,0,-1
55,5,6,1
56,5,0,1
57,3,3,1
58,5,11,1
59,49,53,-1
60,3,14,-1
61,6,2,1
62,14,21,-1
63,3,9,1
64,3,0,-1
65,9,9,1
66,5,2,1
67,9,1,1
68,3,1,-1
69,5,1,1
70,6,13,1
71,3,12,1
72,4,2,1
73,12,8,-1
74,7,0,1
75,6,3,1
76,5,0,1
77,5,2,1
78,27,2,-1
79,7,1,1
80,7,3,1
81,12,70,-1
82,6,1,1
83,7,3,1
84,5,0,1
85,8,1,1
86,5,7,1
87,6,13,1
88,9,2,1
89,4,1,1
90,13,31,-1
91,14,4,-1
92,8,3,1
93,6,1,1
94,5,21,1
95,6,2,1
96,9,4,1
97,6,1,1
98,32,23,-1
99,6,4,1
100,6,5,1
101,7,2,1
102,8,0,1
103,10,5,1
104,7,4,1
105,5,7,1
106,7,8,1
107,5,4,1
108,7,0,1
109,5,3,1
110,7,0,1
111,8,7,1
112,9,13,1
113,13,24,-1
114,4,25,-1
115,5,10,1
116,5,1,1
117,5,2,1
118,4,3,1
119,6,1,1
120,6,0,1
121,5,23,1
122,4,1,1
123,6,19,1
124,4,8,1
125,9,6,1
126,5,0,1
127,4,10,1
128,5,5,1
129,6,1,1
130,24,20,-1
131,10,4,1
132,9,12,1
133,6,29,1
134,7,4,1
135,6,14,1
136,15,6,-1
137,22,19,-1
138,6,1,1
139,8,3,1
